Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,retail Power Band
Noi - Orphaned Thief,2,C-,2,Frank Karsten,,,3,2,,,
Hold Still,2,C-,2,Frank Karsten,,,3,2,,,
Jiminy Cricket - Pinocchio's Conscience,2,C-,2,Frank Karsten,,,3,2,,,
Belle - Bookworm,2,C-,2,Frank Karsten,,,1,2,,,
Pain - Underworld Imp,2,C-,2,Frank Karsten,,,3,2,,,
Dopey - Always Playful,2,C-,2,Frank Karsten,,,3,2,,,
Jasmine - Heir of Agrabah,2,C-,2,Frank Karsten,,,3,2,,,
Weight Set,2,C-,2,Frank Karsten,,,3,2,,,
Mulan - Reflecting,2,C-,2,Frank Karsten,,,3,2,,,
Pack Tactics,2,C-,2,Frank Karsten,,,3,2,,,
Duke Weaselton - Small-Time Crook,2,C-,2,Frank Karsten,,,3,2,,,
Gaston - Scheming Suitor,2,C-,2,Frank Karsten,,,3,2,,,
