Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes
Weight Set,2,C-,2,Frank Karsten,
Mulan - Reflecting,2,C-,2,Frank Karsten,
Pack Tactics,2,C-,2,Frank Karsten,
Duke Weaselton - Small-Time Crook,2,C-,2,Frank Karsten,
Gaston - Scheming Suitor,2,C-,2,Frank Karsten,
Beast - Forbidding Recluse,3,C+,2,Frank Karsten,
Grumpy - Bad-Tempered,3,C+,2,Frank Karsten,
Felicia - Always Hungry,3,C+,2,Frank Karsten,
Elsa - Gloves Off,3,C+,2,Frank Karsten,
Cogsworth - Talking Clock,3,C+,2,Frank Karsten,
Donald Duck - Perfect Gentleman,3,C+,2,Frank Karsten,
Hercules - Hero in Training,3,C+,2,Frank Karsten,
Boun - Precocious Entrepreneur,3,C+,2,Frank Karsten,
Pinocchio - On the Run,3,C+,2,Frank Karsten,
Rapunzel - Sunshine,3,C+,2,Frank Karsten,
Basil - Great Mouse Detective,3,C+,2,Frank Karsten,
Cruella De Vil - Fashionable Cruiser,3,C+,2,Frank Karsten,
Christopher Robin - Adventurer,3,C+,2,Frank Karsten,
Jafar - Royal Vizier,3,C+,2,Frank Karsten,
Merlin - Goat,3,C+,2,Frank Karsten,
Bashful - Hopeless Romantic,3,C+,2,Frank Karsten,
Queen of Hearts - Impulsive Ruler,3,C+,2,Frank Karsten,
Magic Broom - Industrial Model,3,C+,2,Frank Karsten,
